Store ID,Store Name,Address,City,County,Zip Code,Store Location,Store_Segment,CLV,Frequency
6032,Casey'S General Store #1167 / Holstein,714 S MAIN ST,Holstein,Ida,51025.0,POINT (-95.54479 42.48038),Rising Stars,26340.579999999998,30.38095238095238
5618,Casey'S General Store #1446 / Lisbon,150 E. BUSINESS 30,Lisbon,Linn,52253.0,POINT (-91.34083 41.91831),Champions,56301.100000000006,47.32044198895028
5420,Casey'S General Store # 2212/ Cedar Rapids,130 41ST AVE. DR. SW,Cedar Rapids,Linn,52404.0,POINT (-91.65631 41.93769),At-Risk Accounts,44239.34,40.578512396694215
5347,Kum & Go #1097 / 50Th Wdm,220 50TH ST,West Des Moines,Polk,50265.0,POINT (-93.7709 41.57231),Loyal Giants,72147.78,131.73553719008265
4493,Casey'S General Store #2850 / Cedar Rapids,5655 C ST SW,Cedar Rapids,Linn,52404.0,,Champions,57055.670000000006,49.586776859504134
4613,Sparky'S One Stop / Carroll,402 E 6TH ST,Carroll,Carroll,51401.0,POINT (-94.86262 42.06448),At-Risk Accounts,11198.08,12.524271844660193
3822,The Secret Cellar,1205 CURTIS BR RD NE,Shueyville,Johnson,52338.0,POINT (-91.64609 41.84749),At-Risk Accounts,42902.07,38.34710743801653
4949,River Drive Smoke Shop,"828, W RIVER DR",Davenport,Scott,52802.0,POINT (-90.58552 41.52026),At-Risk Accounts,41158.48,41.32231404958678
4480,Circle K #4706602 / Clinton,1530 NORTH 2ND ST,Clinton,Clinton,52732.0,POINT (-90.18389 41.86148),Champions,50375.490000000005,37.5414364640884
6226,Rock C Liquor & Wine & Tobacco / Iowa Falls,418 ROCKSYLVANIA AVENUE,Iowa Falls,Hardin,50126.0,POINT (-93.26263 42.52143),Loyal Giants,47068.85,136.16022099447514
5878,Hometown Foods - Hubbard,210 E MAPLE ST,Hubbard,Hardin,50122.0,POINT (-93.29845 42.30554),At-Risk Accounts,27206.45,31.111111111111114
4190,Fareway Stores #888 / Jefferson,1207 N ELM ST,Jefferson,Greene,50129.0,POINT (-94.37766 42.02668),Loyal Giants,98275.07,91.40495867768595
4856,Brothers Market / Lisbon,930 COMMERCIAL ST,Lisbon,Linn,52253.0,POINT (-91.40113 41.91865),At-Risk Accounts,16108.97,27.988826815642458
5945,Casey'S General Store #3899 / Cedar Rapids,235 EDGEWOOD RD NW,Cedar Rapids,Linn,52405.0,POINT (-91.71601 41.97423),At-Risk Accounts,39814.64,37.0059880239521
4569,Car-Go-Express / Sutherland,202 WEST SOUTHERN ST,Sutherland,O'Brien,51058.0,POINT (-95.4989 42.96803),Loyal Giants,56521.96,60.588235294117645
2554,Hy-Vee Food Store #1 (1105) / Davenport,3019 ROCKINGHAM ROAD,Davenport,Scott,52802.0,POINT (-90.62058 41.5106),At-Risk Accounts,41110.62,
9037,"Green Frog Distillery, Llc",3345 270TH AVE,Keokuk,Lee,52632.0,POINT (-91.40014 40.4728),,,
